1055.345728		SD: She is a B.C. writer, educated in Victoria at Norfolk House and she later took courses in creative writing at the University of British Columbia. During a summer visit to the prairies, she experienced some of the effects of a long depression and drought. It was near the end of the ‘30s when she was in the prairies. Her poem “The Wind, Our Enemy,” one of the best known poems of that decade, is a word painting of her own emotional reaction.	Djwa
1086.451245		She received the Governor General’s award for her chapbook Calling Adventurers in 1941 and published Salt Marsh in 1942 and published Sandstone and Other Poems in 1945.	Djwa
1099.964553		In “The Wind, Our Enemy” Anne writes from the perspective of one who feels with and for the prairie farmer as the sun beats down destroying his crop. But on the other hand, she hasn’t forgotten—as some of our writers of the Depression have—the, sort of, enormous human solidarity. There were dances, there were get-togethers, there were soirees in “The Wind, Our Enemy.”	Djwa
1127.862994		She will be describing her approach to her art and her part with Dorothy Livesay in the setting-up of Contemporary Verse. I should mention, as a matter of interest, that all three of our panelists were together, in the pages of Contemporary Verse in 1941. Anne Marriott 	Djwa
1653.667659		SD: That was a darn good magazine!	Djwa
1666.02891		SD: Well, shortly after Contemporary Verse got going and Irving Layton and Dorothy Livesay and Anne Marriott appeared in its pages, Preview, a new little magazine was founded in Montreal. As P. K. Page is not here to tell the Preview story, perhaps we should have a few sentences on it. Preview began in March 1942 as a mimeograph bulletin. F. R. Scott, Patrick Anderson, and Neville Shaw were among the original founders, and P. K. Page and A. M. Klein soon joined the group.	Djwa
1699.531949		The first editorial of this little magazine stated that the poets involved were all anti-fascist, and this is what they said: “We feel that the existence of a war between democratic culture and the paralyzing forces of dictatorship only intensifies the writer’s obligation to work. Now more than ever, creative and experimental writing must be kept alive and there must be no retreat.”	Djwa
1707.720889		SD quoting Preview editors	Djwa
1725.842421		World War II, then, brought with it a new interest in the arts, especially poetry and especially poetry in the service of democracy.	Djwa
1735.370237		First Statement, a second little magazine began shortly after Preview, partly, as Irving will probably tell us, because John Sutherland, the founder of First Statement submitted some poems to Preview and they weren’t accepted. So he then decided he needed an outlet for his poetry and First Statement came into being.	Djwa
1761.12025		First Statement also took a political stand. However, the cosmopolitanism, especially the British influence of the Preview group irked First Statement members, especially John Sutherland, Irving Layton, and Louis Dudek. They saw Preview’s cosmopolitanism as just another name for colonialism. As John Sutherland wrote: “a poet preaching politics in the guise of Auden may be just as colonial as a member of the CAA praising Britain in the metres of Tennyson.” What Sutherland wanted was a poetry that stopped being a parasite on other literatures and has had the courage to decide its own problems in its own way.	Djwa
1784.161373		SD quotes John Sutherland	Djwa
1807.327043		Irving Layton, who began to write in the pages of First Statement, and in fact in the early years of the war as Lieutenant Layton can best speak of this period. He hardly needs an introduction to this audience as many of you will have heard his excellent reading last night. In the early ‘40s, Irving was writing particularly of the social injustices, which he perceived in Montreal and in the larger world around him. In the April 1943 issue of First Statement, we find a verse from Irving called “The Modern Poet” and here are the first four lines:	Djwa
1848.022649		SD recites excerpt from "The Modern Poet" by Irving Layton	Djwa
1857.861831		Irving Layton, is, above all, a passionate poet.	Djwa
1874.613351		SD: His great contribution is that he brought eros to Canadian poetry, where she properly belonged. In the early ‘40s and late ‘50s he complained that Canadians were “too dull, too conservative, and much too neglectful of the joys of the flesh.” In pastorals such as “Look, The Lambs Are All About Us,” he set out to educate Canadians: “Hell, my back sunburnt from so much lovemaking in the open air. What luck, what luck to be loved by the one girl in this Presbyterian country who knows how to give a man pleasure”	Djwa
1901.110643		SD recites excerpt from "Look, The Lambs Are All About Us" by Irving Layton	Djwa
